ID,Territory,Location,Date,Reversal,FeederID,Trial,Time,Rewarded,Notes
YX-WI,TFOX,Natural,13-Dec-2023,0,W,1,958,1,"Whiteboard says wrong territory. Feeders 5m apart. All other group members present, occasionally scrounge from rewarded feeeder."
YX-WI,TFOX,Natural,13-Dec-2023,0,W,2,959,1,
YX-WI,TFOX,Natural,13-Dec-2023,0,W,3,1001,0,
YX-WI,TFOX,Natural,13-Dec-2023,0,W,4,1002,1,BX-RI also gets a peanut after YX-WI
YX-WI,TFOX,Natural,13-Dec-2023,0,W,5,1003,1,
YX-WI,TFOX,Natural,13-Dec-2023,0,W,6,1004,0,
YX-WI,TFOX,Natural,13-Dec-2023,0,W,7,1005,0,
YX-WI,TFOX,Natural,13-Dec-2023,0,W,8,1006,1,
YX-WI,TFOX,Natural,13-Dec-2023,0,W,9,1009,1,
YX-WI,TFOX,Natural,13-Dec-2023,0,W,10,1013,1,
YX-WI,TFOX,Natural,13-Dec-2023,0,W,11,1014,1,XI-RH stole peanut from his bill afterwards
YX-WI,TFOX,Natural,13-Dec-2023,0,W,12,1016,1,
YX-WI,TFOX,Natural,13-Dec-2023,0,W,13,1034,0,@1026 threw 2 freebies in middle between feeders. YX comes immediately to take them.
YX-WI,TFOX,Natural,13-Dec-2023,0,W,14,1038,1,"Chooses correctly, sees peanuts come out, but scared by train noise and does not eat the peanuts"
YX-WI,TFOX,Natural,13-Dec-2023,0,W,15,1048,-1,
YX-WI,TFOX,Natural,14-Dec-2023,0,W,15,1035,0,Very windy
YX-WI,TFOX,Natural,14-Dec-2023,0,W,16,1040,0,
YX-WI,TFOX,Natural,14-Dec-2023,0,W,17,1045,1,
YX-WI,TFOX,Natural,14-Dec-2023,0,W,18,1049,1,
YX-WI,TFOX,Natural,14-Dec-2023,0,W,19,1050,1,
YX-WI,TFOX,Natural,14-Dec-2023,0,W,20,1053,0,
YX-WI,TFOX,Natural,14-Dec-2023,0,W,21,1056,0,
YX-WI,TFOX,Natural,14-Dec-2023,0,W,22,1058,1,"Didn't take peanut, though looked right at them. Something scared all jays away."
YX-WI,TFOX,Natural,14-Dec-2023,0,W,23,1118,-1,"Jays not back for 20 minutes, though one visible on powerline to see tossed freebies"
YX-WI,TFOX,Natural,17-Dec-2023,0,W,23,1225,1,
YX-WI,TFOX,Natural,17-Dec-2023,0,W,24,1226,1,BX-RI also rewarded
YX-WI,TFOX,Natural,17-Dec-2023,0,W,25,1230,1,
YX-WI,TFOX,Natural,17-Dec-2023,0,W,26,1233,1,
YX-WI,TFOX,Natural,17-Dec-2023,0,W,27,1235,1,BX-RI also rewarded
YX-WI,TFOX,Natural,17-Dec-2023,0,W,28,1236,1,PASSED R0; BX-RI also rewarded
YX-WI,TFOX,Natural,17-Dec-2023,1,E,1,1239,0,Came to feeder while camera is off as I was resetting the camera with reversal 1 information
YX-WI,TFOX,Natural,17-Dec-2023,1,E,2,1240,0,
YX-WI,TFOX,Natural,17-Dec-2023,1,E,3,1242,0,
YX-WI,TFOX,Natural,17-Dec-2023,1,E,4,1247,0,
YX-WI,TFOX,Natural,17-Dec-2023,1,E,5,1249,1,
YX-WI,TFOX,Natural,17-Dec-2023,1,E,6,1250,1,
YX-WI,TFOX,Natural,17-Dec-2023,1,E,7,1253,0,
YX-WI,TFOX,Natural,17-Dec-2023,1,E,8,1301,0,Abbreviated reset because YX-WI was trying to immediately go to the other feeder
YX-WI,TFOX,Natural,17-Dec-2023,1,E,9,1303,1,
YX-WI,TFOX,Natural,17-Dec-2023,1,E,10,1304,1,"BX-RI also rewarded; Camera battery low, end session"
YX-WI,TFOX,Natural,19-Dec-2023,1,E,11,1408,0,
YX-WI,TFOX,Natural,19-Dec-2023,1,E,12,1412,1,
YX-WI,TFOX,Natural,19-Dec-2023,1,E,13,1414,1,
YX-WI,TFOX,Natural,19-Dec-2023,1,E,14,1415,1,
YX-WI,TFOX,Natural,19-Dec-2023,1,E,15,1417,1,BX-RI also rewarded
YX-WI,TFOX,Natural,19-Dec-2023,1,E,16,1419,1,BX-RI also rewarded
YX-WI,TFOX,Natural,19-Dec-2023,1,E,17,1420,1,
YX-WI,TFOX,Natural,19-Dec-2023,1,E,18,1421,1,BX-RI also rewarded
YX-WI,TFOX,Natural,19-Dec-2023,1,E,19,1423,1,PASSED R1
YX-WI,TFOX,Natural,19-Dec-2023,2,W,1,1431,0,
YX-WI,TFOX,Natural,19-Dec-2023,2,W,2,1432,0,
YX-WI,TFOX,Natural,19-Dec-2023,2,W,3,1438,1,
YX-WI,TFOX,Natural,19-Dec-2023,2,W,4,1439,1,
YX-WI,TFOX,Natural,19-Dec-2023,2,W,5,1442,1,
YX-WI,TFOX,Natural,19-Dec-2023,2,W,6,1443,1,
YX-WI,TFOX,Natural,19-Dec-2023,2,W,7,1445,1,
YX-WI,TFOX,Natural,19-Dec-2023,2,W,8,1448,1,
YX-WI,TFOX,Natural,19-Dec-2023,2,W,9,1449,1,
YX-WI,TFOX,Natural,19-Dec-2023,2,W,10,1509,-1,Alarm calling; YX-WI not back in 20 min
YX-WI,TFOX,Natural,31-Dec-2023,2,W,10,1138,0,
YX-WI,TFOX,Natural,31-Dec-2023,2,W,11,1143,1,
YX-WI,TFOX,Natural,31-Dec-2023,2,W,12,1147,1,BX-RI also rewarded
YX-WI,TFOX,Natural,31-Dec-2023,2,W,13,1151,1,PASSED R2
YX-WI,TFOX,Natural,31-Dec-2023,3,E,1,1154,0,
YX-WI,TFOX,Natural,31-Dec-2023,3,E,2,1156,1,BX-RI also rewarded
YX-WI,TFOX,Natural,31-Dec-2023,3,E,3,1157,1,BX-RI also rewarded
YX-WI,TFOX,Natural,31-Dec-2023,3,E,4,1158,1,
YX-WI,TFOX,Natural,31-Dec-2023,3,E,5,1200,1,BX-RI also rewarded
YX-WI,TFOX,Natural,31-Dec-2023,3,E,6,1202,1,BX-RI also rewarded
YX-WI,TFOX,Natural,31-Dec-2023,3,E,7,1203,1,
YX-WI,TFOX,Natural,31-Dec-2023,3,E,8,1203,1,
YX-WI,TFOX,Natural,31-Dec-2023,3,E,9,1204,1,
YX-WI,TFOX,Natural,31-Dec-2023,3,E,10,1205,1,BX-RI also rewarded
YX-WI,TFOX,Natural,31-Dec-2023,3,E,11,1206,1,BX-RI and XI-RH also rewarded
YX-WI,TFOX,Natural,31-Dec-2023,3,E,12,1208,1,PASSED R3
YX-WI,TFOX,Natural,31-Dec-2023,4,W,1,1212,0,
YX-WI,TFOX,Natural,31-Dec-2023,4,W,2,1220,1,
YX-WI,TFOX,Natural,31-Dec-2023,4,W,3,1227,1,BX-RI also rewarded
YX-WI,TFOX,Natural,31-Dec-2023,4,W,4,1228,1,
YX-WI,TFOX,Natural,31-Dec-2023,4,W,5,1229,1,BX-RI also rewarded
YX-WI,TFOX,Natural,31-Dec-2023,4,W,6,1232,1,
YX-WI,TFOX,Natural,31-Dec-2023,4,W,7,1233,1,BX-RI also rewarded
YX-WI,TFOX,Natural,31-Dec-2023,4,W,8,1235,1,BX-RI also rewarded
YX-WI,TFOX,Natural,31-Dec-2023,4,W,9,1236,1,BX-RI also rewarded
YX-WI,TFOX,Natural,31-Dec-2023,4,W,10,1237,1,
YX-WI,TFOX,Natural,31-Dec-2023,4,W,11,1238,1,BX-RI also rewarded
YX-WI,TFOX,Natural,31-Dec-2023,4,W,12,1239,1,PASSED R4 and Serial Reversals!
XY-I,PIPO,Natural,13-Dec-2023,0,W,1,1215,0,"UB and XHW-I from BRIK show up and chase XY-I some, lose interest after freebies in middle of feeders gone. Need distraction pile in BRIK next time."
XY-I,PIPO,Natural,13-Dec-2023,0,W,2,1216,1,
XY-I,PIPO,Natural,13-Dec-2023,0,W,3,1218,0,
XY-I,PIPO,Natural,13-Dec-2023,0,W,4,1219,1,Did not take peanut
XY-I,PIPO,Natural,13-Dec-2023,0,W,5,1222,0,
XY-I,PIPO,Natural,13-Dec-2023,0,W,6,1223,1,
XY-I,PIPO,Natural,13-Dec-2023,0,W,7,1243,1,"UB was back to chasing XY-I, but XY-I came back to feeders right as I go to end the session."
XY-I,PIPO,Natural,13-Dec-2023,0,W,8,1245,1,
XY-I,PIPO,Natural,13-Dec-2023,0,W,9,1247,1,
XY-I,PIPO,Natural,13-Dec-2023,0,W,10,1251,1,"West camera battery died, not sure when. End session."
XY-I,PIPO,Natural,14-Dec-2023,0,W,11,900,-1,Start 0825- XY-I sits in tree and looks at freebies but does not come down to freebies or feeders.
XY-I,PIPO,Natural,17-Dec-2023,0,W,11,923,1,"Start 0917, windy"
XY-I,PIPO,Natural,17-Dec-2023,0,W,12,929,1,
XY-I,PIPO,Natural,17-Dec-2023,0,W,13,942,1,PASSED R0
XY-I,PIPO,Natural,19-Dec-2023,1,E,1,759,0,
XY-I,PIPO,Natural,19-Dec-2023,1,E,2,804,0,
XY-I,PIPO,Natural,19-Dec-2023,1,E,3,813,1,
XY-I,PIPO,Natural,19-Dec-2023,1,E,4,819,1,
XY-I,PIPO,Natural,19-Dec-2023,1,E,5,821,1,
XY-I,PIPO,Natural,19-Dec-2023,1,E,6,823,1,
XY-I,PIPO,Natural,19-Dec-2023,1,E,7,839,1,
XY-I,PIPO,Natural,19-Dec-2023,1,E,8,842,1,
XY-I,PIPO,Natural,19-Dec-2023,1,E,9,859,-1,End session
XY-I,PIPO,Natural,30-Dec-2023,1,E,9,756,1,
XY-I,PIPO,Natural,30-Dec-2023,1,E,10,806,1,
XY-I,PIPO,Natural,30-Dec-2023,1,E,11,811,1,
XY-I,PIPO,Natural,30-Dec-2023,1,E,12,812,1,
XY-I,PIPO,Natural,30-Dec-2023,1,E,13,821,1,PASSED R1
XY-I,PIPO,Natural,30-Dec-2023,2,W,1,836,1,
XY-I,PIPO,Natural,30-Dec-2023,2,W,2,836,0,
XY-I,PIPO,Natural,30-Dec-2023,2,W,3,837,0,
XY-I,PIPO,Natural,30-Dec-2023,2,W,4,837,1,
XY-I,PIPO,Natural,30-Dec-2023,2,W,5,842,1,
XY-I,PIPO,Natural,30-Dec-2023,2,W,6,856,-1,
XY-I,PIPO,Natural,31-Dec-2023,2,W,6,752,1,
XY-I,PIPO,Natural,31-Dec-2023,2,W,7,753,1,
XY-I,PIPO,Natural,31-Dec-2023,2,W,8,755,0,
XY-I,PIPO,Natural,31-Dec-2023,2,W,9,756,0,
XY-I,PIPO,Natural,31-Dec-2023,2,W,10,757,1,
XY-I,PIPO,Natural,31-Dec-2023,2,W,11,807,1,
XY-I,PIPO,Natural,31-Dec-2023,2,W,12,810,1,
XY-I,PIPO,Natural,31-Dec-2023,2,W,13,814,1,
XY-I,PIPO,Natural,31-Dec-2023,2,W,14,817,1,
XY-I,PIPO,Natural,31-Dec-2023,2,W,15,822,1,PASSED R2
XY-I,PIPO,Natural,31-Dec-2023,3,E,1,825,0,
XY-I,PIPO,Natural,31-Dec-2023,3,E,2,825,0,
XY-I,PIPO,Natural,31-Dec-2023,3,E,3,826,1,
XY-I,PIPO,Natural,31-Dec-2023,3,E,4,830,1,
XY-I,PIPO,Natural,31-Dec-2023,3,E,5,831,1,
XY-I,PIPO,Natural,31-Dec-2023,3,E,6,833,1,
XY-I,PIPO,Natural,31-Dec-2023,3,E,7,834,1,
XY-I,PIPO,Natural,31-Dec-2023,3,E,8,837,1,
XY-I,PIPO,Natural,31-Dec-2023,3,E,9,838,0,
XY-I,PIPO,Natural,31-Dec-2023,3,E,10,839,0,
XY-I,PIPO,Natural,31-Dec-2023,3,E,11,845,1,
XY-I,PIPO,Natural,31-Dec-2023,3,E,12,849,1,
XY-I,PIPO,Natural,3-Jan-2024,3,E,13,815,0,
XY-I,PIPO,Natural,3-Jan-2024,3,E,14,816,1,
XY-I,PIPO,Natural,3-Jan-2024,3,E,15,818,1,
XY-I,PIPO,Natural,3-Jan-2024,3,E,16,819,1,
XY-I,PIPO,Natural,3-Jan-2024,3,E,17,829,1,
XY-I,PIPO,Natural,3-Jan-2024,3,E,18,830,1,
XY-I,PIPO,Natural,3-Jan-2024,3,E,19,837,0,
XY-I,PIPO,Natural,3-Jan-2024,3,E,20,845,1,
XY-I,PIPO,Natural,3-Jan-2024,3,E,21,847,1,
XY-I,PIPO,Natural,3-Jan-2024,3,E,22,852,1,PASSED R3
XY-I,PIPO,Natural,3-Jan-2024,4,W,1,858,1,
XY-I,PIPO,Natural,3-Jan-2024,4,W,2,911,1,
XY-I,PIPO,Natural,7-Jan-2024,4,W,3,845,1,
XY-I,PIPO,Natural,7-Jan-2024,4,W,4,903,1,
XY-I,PIPO,Natural,7-Jan-2024,4,W,5,905,0,
XY-I,PIPO,Natural,7-Jan-2024,4,W,6,906,1,
XY-I,PIPO,Natural,7-Jan-2024,4,W,7,909,1,
XY-I,PIPO,Natural,7-Jan-2024,4,W,8,915,1,
XY-I,PIPO,Natural,7-Jan-2024,4,W,9,922,1,
XY-I,PIPO,Natural,7-Jan-2024,4,W,10,938,0,
XY-I,PIPO,Natural,7-Jan-2024,4,W,11,939,1,
XY-I,PIPO,Natural,7-Jan-2024,4,W,12,941,1,PASSED R4
XY-I,PIPO,Natural,13-Jan-2024,5,E,1,848,0,
XY-I,PIPO,Natural,13-Jan-2024,5,E,2,852,1,
XY-I,PIPO,Natural,13-Jan-2024,5,E,3,855,1,
XY-I,PIPO,Natural,13-Jan-2024,5,E,4,908,1,
XY-I,PIPO,Natural,13-Jan-2024,5,E,5,918,1,
XY-I,PIPO,Natural,13-Jan-2024,5,E,6,926,1,
XY-I,PIPO,Natural,13-Jan-2024,5,E,7,930,0,
XY-I,PIPO,Natural,13-Jan-2024,5,E,8,931,1,
XY-I,PIPO,Natural,13-Jan-2024,5,E,9,950,1,
XY-I,PIPO,Natural,13-Jan-2024,5,E,10,954,1,
XY-I,PIPO,Natural,13-Jan-2024,5,E,11,1000,1,
XY-I,PIPO,Natural,13-Jan-2024,5,E,12,1014,1,PASSED R5 and serial reversals!
OW-XK,DG,Suburban,29-Dec-2023,0,E,1,847,1,
OW-XK,DG,Suburban,29-Dec-2023,0,E,2,913,1,
OW-XK,DG,Suburban,29-Dec-2023,0,E,3,921,1,
OW-XK,DG,Suburban,29-Dec-2023,0,E,4,924,0,
OW-XK,DG,Suburban,29-Dec-2023,0,E,5,926,1,
OW-XK,DG,Suburban,29-Dec-2023,0,E,6,947,-1,Came back for freebie at the last minute. 1-hr session up though.
OW-XK,DG,Suburban,2-Jan-2024,0,E,6,1044,1,Accidentally hit refill button 2x
OW-XK,DG,Suburban,2-Jan-2024,0,E,7,1058,0,
OW-XK,DG,Suburban,2-Jan-2024,0,E,8,1059,1,
OW-XK,DG,Suburban,2-Jan-2024,0,E,9,1105,1,
OW-XK,DG,Suburban,2-Jan-2024,0,E,10,1120,1,
OW-XK,DG,Suburban,2-Jan-2024,0,E,11,1121,1,
OW-XK,DG,Suburban,2-Jan-2024,0,E,12,1141,-1,
OW-XK,DG,Suburban,4-Jan-2024,0,E,12,1040,1,PASSED R0
OW-XK,DG,Suburban,10-Jan-2024,1,W,1,1211,0,
OW-XK,DG,Suburban,10-Jan-2024,1,W,2,1216,1,
OW-XK,DG,Suburban,10-Jan-2024,1,W,3,1223,1,
OW-XK,DG,Suburban,10-Jan-2024,1,W,4,1250,-1,
OW-XK,DG,Suburban,18-Jan-2024,1,W,4,1055,0,
OW-XK,DG,Suburban,18-Jan-2024,1,W,5,1055,1,
OW-XK,DG,Suburban,18-Jan-2024,1,W,6,1110,1,
OW-XK,DG,Suburban,18-Jan-2024,1,W,7,1119,1,
OW-XK,DG,Suburban,18-Jan-2024,1,W,8,1119,1,"Not back in 20 minutes, end session"
OW-XK,DG,Suburban,19-Jan-2024,1,W,9,1407,0,
OW-XK,DG,Suburban,19-Jan-2024,1,W,10,1408,1,
OW-XK,DG,Suburban,19-Jan-2024,1,W,11,1409,1,"Not back in 20 minutes, end session"
OW-XK,DG,Suburban,30-Jan-2024,1,W,12,1538,1,"Already on the ground at the feeder before cams on, so NO VIDEO FILE"
OW-XK,DG,Suburban,30-Jan-2024,1,W,13,1539,1,PASSED R1
