ID,pp,forage,height,substrate,Location,Condition
ak-ox,pre,8,2.521126761,12,Suburban,Con
bx-ri,pre,7,0.402173913,13,Natural,Man
bx-wk,pre,7,1.849462366,14,Suburban,Con
bx-yk,pre,7,7.28,11,Suburban,Con
g-x,pre,7,0.9140625,11,Natural,Con
gx-ak,pre,6,7.931034483,18,Suburban,Con
gx-ok,pre,12,1.327272727,21,Suburban,Con
h-gwx,pre,9,0.644295302,10,Natural,Man
h-rwx,pre,3,0.936,9,Natural,Man
i-axg,pre,4,1.016528926,11,Natural,Con
i-pax,pre,5,1.544642857,11,Natural,Con
i-pax ub,pre,2,4.75,7,Natural,Con
i-wbx,pre,5,4.444444444,4,Natural,Con
i-wxg,pre,4,0.617021277,6,Natural,Con
i-xpo,pre,6,1.677777778,9,Natural,Man
oi-x,pre,2,7.5,5,Natural,Con
op-xi,pre,1,1,3,Natural,Con
ow-xk,pre,6,2.27027027,10,Suburban,Con
rl-xi,pre,1,9.25,6,Natural,Con
rx-yk,pre,7,3.631578947,11,Suburban,Con
wk-ox,pre,8,1.891566265,19,Suburban,Man
wx-rk,pre,9,1.784090909,17,Suburban,Con
xhw-i,pre,5,1.915662651,9,Natural,Man
xhw-i ub,pre,4,2.606557377,13,Natural,Con
xi-rh,pre,5,4.627906977,10,Natural,Man
xy-i,pre,5,0.404624277,10,Natural,Man
yg-xi,pre,5,0.987804878,10,Natural,Con
yx-dgk,pre,1,16.2,11,Suburban,Con
yx-gk,pre,3,2.666666667,9,Suburban,Con
yx-wi,pre,9,0.189320388,12,Natural,Man
ak-ox,post,,,,Suburban,Con
bx-ri,post,11,0.299492386,16,Natural,Man
bx-wk,post,,,,Suburban,Con
bx-yk,post,,,,Suburban,Con
g-x,post,2,1.327102804,9,Natural,Con
gx-ak,post,,,,Suburban,Con
gx-ok,post,,,,Suburban,Con
h-gwx,post,12,0.690789474,10,Natural,Man
h-rwx,post,7,0.7,13,Natural,Man
i-axg,post,7,0.471544715,7,Natural,Con
i-pax,post,4,0.861386139,7,Natural,Con
i-pax ub,post,,,,Natural,Con
i-wbx,post,,,,Natural,Con
i-wxg,post,,,,Natural,Con
i-xpo,post,4,1.520833333,9,Natural,Man
oi-x,post,,,,Natural,Con
op-xi,post,,,,Natural,Con
ow-xk,post,,,,Suburban,Con
rl-xi,post,,,,Natural,Con
rx-yk,post,,,,Suburban,Con
wk-ox,post,6,2.025,19,Suburban,Man
wx-rk,post,,,,Suburban,Con
xhw-i,post,8,0.764285714,11,Natural,Man
xhw-i ub,post,4,2.2,9,Natural,Con
xi-rh,post,8,1.847058824,8,Natural,Man
xy-i,post,3,5.153846154,8,Natural,Man
yg-xi,post,1,0.704918033,9,Natural,Con
yx-dgk,post,,,,Suburban,Con
yx-gk,post,,,,Suburban,Con
yx-wi,post,11,0.212560386,13,Natural,Man
