n,changeprop_mean,changeprop_sd,repetition,proportion_before,proportion_estimates_below_zero,count_estimates_below_zero
10,0.4,0.1,1,0.5,0.025,50
10,0.4,0.1,2,0.5,0.0585,117
10,0.4,0.1,3,0.5,0.0085,17
10,0.4,0.1,4,0.5,0,0
10,0.4,0.1,5,0.5,0,0
10,0.4,0.1,6,0.5,0.0825,165
10,0.4,0.1,7,0.5,0.0695,139
10,0.4,0.1,8,0.5,0.0445,89
10,0.4,0.1,9,0.5,0.029,58
10,0.4,0.1,10,0.5,0.027,54
10,0.4,0.1,1,0.6,0.0935,187
10,0.4,0.1,2,0.6,0.101,202
10,0.4,0.1,3,0.6,0.055,110
10,0.4,0.1,4,0.6,0.0185,37
10,0.4,0.1,5,0.6,0.0865,173
10,0.4,0.1,6,0.6,0,0
10,0.4,0.1,7,0.6,0.023,46
10,0.4,0.1,8,0.6,0.034,68
10,0.4,0.1,9,0.6,0.043,86
10,0.4,0.1,10,0.6,0.0435,87
10,0.4,0.1,1,0.7,0.1155,231
10,0.4,0.1,2,0.7,0.1825,365
10,0.4,0.1,3,0.7,0.1395,279
10,0.4,0.1,4,0.7,0.069,138
10,0.4,0.1,5,0.7,0.0555,111
10,0.4,0.1,6,0.7,0.2955,591
10,0.4,0.1,7,0.7,0.1465,293
10,0.4,0.1,8,0.7,0.273,546
10,0.4,0.1,9,0.7,0.082,164
10,0.4,0.1,10,0.7,0.1845,369
10,0.3,0.1,1,0.5,0,0
10,0.3,0.1,2,0.5,5E-04,1
10,0.3,0.1,3,0.5,0,0
10,0.3,0.1,4,0.5,0,0
10,0.3,0.1,5,0.5,0,0
10,0.3,0.1,6,0.5,0.0025,5
10,0.3,0.1,7,0.5,5E-04,1
10,0.3,0.1,8,0.5,0.002,4
10,0.3,0.1,9,0.5,0.001,2
10,0.3,0.1,10,0.5,0.0195,39
10,0.3,0.1,1,0.6,0.0025,5
10,0.3,0.1,2,0.6,0.081,162
10,0.3,0.1,3,0.6,0.003,6
10,0.3,0.1,4,0.6,0.005,10
10,0.3,0.1,5,0.6,0.0075,15
10,0.3,0.1,6,0.6,0.0155,31
10,0.3,0.1,7,0.6,0.0655,131
10,0.3,0.1,8,0.6,0.003,6
10,0.3,0.1,9,0.6,0.063,126
10,0.3,0.1,10,0.6,0.0015,3
10,0.3,0.1,1,0.7,0.194,388
10,0.3,0.1,2,0.7,0.1135,227
10,0.3,0.1,3,0.7,0.204,408
10,0.3,0.1,4,0.7,0.076,152
10,0.3,0.1,5,0.7,0.4265,853
10,0.3,0.1,6,0.7,0.327,654
10,0.3,0.1,7,0.7,0.2275,455
10,0.3,0.1,8,0.7,0.065,130
10,0.3,0.1,9,0.7,0.001,2
10,0.3,0.1,10,0.7,0.1655,331
10,0.2,0.1,1,0.5,0.054,108
10,0.2,0.1,2,0.5,0.008,16
10,0.2,0.1,3,0.5,0.001,2
10,0.2,0.1,4,0.5,0,0
10,0.2,0.1,5,0.5,0.001,2
10,0.2,0.1,6,0.5,0,0
10,0.2,0.1,7,0.5,0.0015,3
10,0.2,0.1,8,0.5,0.002,4
10,0.2,0.1,9,0.5,0.01,20
10,0.2,0.1,10,0.5,0,0
10,0.2,0.1,1,0.6,0.0015,3
10,0.2,0.1,2,0.6,0.002,4
10,0.2,0.1,3,0.6,0.0065,13
10,0.2,0.1,4,0.6,0.005,10
10,0.2,0.1,5,0.6,0.179,358
10,0.2,0.1,6,0.6,0,0
10,0.2,0.1,7,0.6,0.0015,3
10,0.2,0.1,8,0.6,0.0145,29
10,0.2,0.1,9,0.6,0,0
10,0.2,0.1,10,0.6,0.0065,13
10,0.2,0.1,1,0.7,0.038,76
10,0.2,0.1,2,0.7,0.129,258
10,0.2,0.1,3,0.7,0.243,486
10,0.2,0.1,4,0.7,0.2745,549
10,0.2,0.1,5,0.7,0.1655,331
10,0.2,0.1,6,0.7,0.1705,341
10,0.2,0.1,7,0.7,0.1745,349
10,0.2,0.1,8,0.7,0.023,46
10,0.2,0.1,9,0.7,0.0065,13
10,0.2,0.1,10,0.7,0.205,410
10,0.1,0.1,1,0.5,0.0285,57
10,0.1,0.1,2,0.5,0.0265,53
10,0.1,0.1,3,0.5,0.0155,31
10,0.1,0.1,4,0.5,0.025,50
10,0.1,0.1,5,0.5,0.0595,119
10,0.1,0.1,6,0.5,0.037,74
10,0.1,0.1,7,0.5,0.0165,33
10,0.1,0.1,8,0.5,0.012,24
10,0.1,0.1,9,0.5,0.02,40
10,0.1,0.1,10,0.5,0.0155,31
10,0.1,0.1,1,0.6,0.02,40
10,0.1,0.1,2,0.6,0.053,106
10,0.1,0.1,3,0.6,0.0105,21
10,0.1,0.1,4,0.6,0.036,72
10,0.1,0.1,5,0.6,0.027,54
10,0.1,0.1,6,0.6,0.022,44
10,0.1,0.1,7,0.6,0.1845,369
10,0.1,0.1,8,0.6,0.0685,137
10,0.1,0.1,9,0.6,0,0
10,0.1,0.1,10,0.6,0.0395,79
10,0.1,0.1,1,0.7,0.0395,79
10,0.1,0.1,2,0.7,0.026,52
10,0.1,0.1,3,0.7,0.282,564
10,0.1,0.1,4,0.7,0.312,624
10,0.1,0.1,5,0.7,0.3385,677
10,0.1,0.1,6,0.7,0.0355,71
10,0.1,0.1,7,0.7,0.1085,217
10,0.1,0.1,8,0.7,0.1615,323
10,0.1,0.1,9,0.7,0.2985,597
10,0.1,0.1,10,0.7,0.1515,303
