,n,changeprop_mean,changeprop_sd,repetition,proportion_before,proportion_estimates_below_zero,count_estimates_below_zero
1,10,0,0.1,1,0.5,0.929,1858
2,10,0,0.1,2,0.5,0.276,552
3,10,0,0.1,3,0.5,0.302,604
4,10,0,0.1,4,0.5,0.5585,1117
5,10,0,0.1,5,0.5,0.595,1190
6,10,0,0.1,6,0.5,0.328,656
7,10,0,0.1,7,0.5,0.45,900
8,10,0,0.1,8,0.5,0.073,146
9,10,0,0.1,9,0.5,0.068,136
10,10,0,0.1,10,0.5,0.4665,933
11,10,0,0.1,1,0.6,0.4495,899
12,10,0,0.1,2,0.6,0.6145,1229
13,10,0,0.1,3,0.6,0.421,842
14,10,0,0.1,4,0.6,0.7035,1407
15,10,0,0.1,5,0.6,0.384,768
16,10,0,0.1,6,0.6,0.9075,1815
17,10,0,0.1,7,0.6,0.1085,217
18,10,0,0.1,8,0.6,0.1625,325
19,10,0,0.1,9,0.6,0.697,1394
20,10,0,0.1,10,0.6,0.3015,603
21,10,0,0.1,1,0.7,0.319,638
22,10,0,0.1,2,0.7,0.642,1284
23,10,0,0.1,3,0.7,0.706,1412
24,10,0,0.1,4,0.7,0.766,1532
25,10,0,0.1,5,0.7,0.7025,1405
26,10,0,0.1,6,0.7,0.898,1796
27,10,0,0.1,7,0.7,0.3925,785
28,10,0,0.1,8,0.7,0.2245,449
29,10,0,0.1,9,0.7,0.393,786
30,10,0,0.1,10,0.7,0.3325,665
31,20,0,0.1,1,0.5,0.32,640
32,20,0,0.1,2,0.5,0.0435,87
33,20,0,0.1,3,0.5,0.429,858
34,20,0,0.1,4,0.5,0.2845,569
35,20,0,0.1,5,0.5,0.0815,163
36,20,0,0.1,6,0.5,0.6035,1207
37,20,0,0.1,7,0.5,0.4315,863
38,20,0,0.1,8,0.5,0.635,1270
39,20,0,0.1,9,0.5,0.7545,1509
40,20,0,0.1,10,0.5,0.593,1186
41,20,0,0.1,1,0.6,0.4635,927
42,20,0,0.1,2,0.6,0.531,1062
