,n,changenumber_mean,changenumber_sd,repetition,number_before,proportion_estimates_below_zero,count_estimates_below_zero
1,10,5,2,1,4,0,0
2,10,5,2,2,4,0,0
3,10,5,2,3,4,0,0
4,10,5,2,4,4,0,0
5,10,5,2,5,4,0,0
6,10,5,2,6,4,0,0
7,10,5,2,7,4,0,0
8,10,5,2,8,4,0,0
9,10,5,2,9,4,0,0
10,10,5,2,10,4,0,0
11,10,5,2,1,6.5,0,0
12,10,5,2,2,6.5,0,0
13,10,5,2,3,6.5,0,0
14,10,5,2,4,6.5,0,0
15,10,5,2,5,6.5,0,0
16,10,5,2,6,6.5,0,0
17,10,5,2,7,6.5,0,0
18,10,5,2,8,6.5,0,0
19,10,5,2,9,6.5,0,0
20,10,5,2,10,6.5,0,0
21,10,5,2,1,9,0,0
22,10,5,2,2,9,0,0
23,10,5,2,3,9,0,0
24,10,5,2,4,9,0,0
25,10,5,2,5,9,0,0
26,10,5,2,6,9,0,0
27,10,5,2,7,9,0,0
28,10,5,2,8,9,0,0
29,10,5,2,9,9,0,0
30,10,5,2,10,9,0,0
31,10,4,2,1,4,0,0
32,10,4,2,2,4,0,0
33,10,4,2,3,4,0,0
34,10,4,2,4,4,0,0
35,10,4,2,5,4,0,0
36,10,4,2,6,4,0.001,2
37,10,4,2,7,4,0,0
38,10,4,2,8,4,0,0
39,10,4,2,9,4,0,0
40,10,4,2,10,4,0,0
41,10,4,2,1,6.5,0,0
42,10,4,2,2,6.5,0,0
43,10,4,2,3,6.5,0,0
44,10,4,2,4,6.5,0,0
45,10,4,2,5,6.5,0,0
46,10,4,2,6,6.5,0,0
47,10,4,2,7,6.5,0,0
48,10,4,2,8,6.5,0,0
49,10,4,2,9,6.5,0,0
50,10,4,2,10,6.5,0.023,46
51,10,4,2,1,9,0.0015,3
52,10,4,2,2,9,0,0
53,10,4,2,3,9,0.0025,5
54,10,4,2,4,9,0.0285,57
55,10,4,2,5,9,0,0
56,10,4,2,6,9,0,0
57,10,4,2,7,9,0.0015,3
58,10,4,2,8,9,0.0055,11
59,10,4,2,9,9,5E-04,1
60,10,4,2,10,9,0,0
61,10,3,2,1,4,0,0
62,10,3,2,2,4,0,0
63,10,3,2,3,4,0,0
64,10,3,2,4,4,0.0015,3
65,10,3,2,5,4,5E-04,1
66,10,3,2,6,4,0,0
67,10,3,2,7,4,0.002,4
68,10,3,2,8,4,0,0
69,10,3,2,9,4,0,0
70,10,3,2,10,4,0,0
71,10,3,2,1,6.5,0,0
72,10,3,2,2,6.5,0.0165,33
73,10,3,2,3,6.5,0.099,198
74,10,3,2,4,6.5,0.0035,7
75,10,3,2,5,6.5,0.0015,3
76,10,3,2,6,6.5,0.002,4
77,10,3,2,7,6.5,0,0
78,10,3,2,8,6.5,0.023,46
79,10,3,2,9,6.5,0.0275,55
80,10,3,2,10,6.5,0.0045,9
81,10,3,2,1,9,0.027,54
82,10,3,2,2,9,0.0535,107
83,10,3,2,3,9,0.049,98
84,10,3,2,4,9,0,0
85,10,3,2,5,9,0.001,2
86,10,3,2,6,9,0.019,38
87,10,3,2,7,9,0.0055,11
88,10,3,2,8,9,0.328,656
89,10,3,2,9,9,0,0
90,10,3,2,10,9,0.0075,15
91,10,2,2,1,4,0.072,144
92,10,2,2,2,4,0.02,40
93,10,2,2,3,4,0.04,80
94,10,2,2,4,4,0.0185,37
95,10,2,2,5,4,0.4255,851
96,10,2,2,6,4,0.07,140
97,10,2,2,7,4,0.0015,3
98,10,2,2,8,4,0.045,90
99,10,2,2,9,4,0.2435,487
100,10,2,2,10,4,0.0945,189
101,10,2,2,1,6.5,0.1425,285
102,10,2,2,2,6.5,0.0605,121
103,10,2,2,3,6.5,0.119,238
104,10,2,2,4,6.5,0.0025,5
105,10,2,2,5,6.5,0.1995,399
106,10,2,2,6,6.5,0.396,792
107,10,2,2,7,6.5,0.061,122
108,10,2,2,8,6.5,0.0645,129
109,10,2,2,9,6.5,0.078,156
110,10,2,2,10,6.5,0.03,60
111,10,2,2,1,9,0.0045,9
112,10,2,2,2,9,0.012,24
113,10,2,2,3,9,0.057,114
114,10,2,2,4,9,0.177,354
115,10,2,2,5,9,5E-04,1
116,10,2,2,6,9,0.594,1188
117,10,2,2,7,9,0.5355,1071
118,10,2,2,8,9,0.2545,509
119,10,2,2,9,9,0.4745,949
120,10,2,2,10,9,0.265,530
121,10,1,2,1,4,0.198,396
122,10,1,2,2,4,0.1165,233
123,10,1,2,3,4,0.833,1666
124,10,1,2,4,4,0.196,392
125,10,1,2,5,4,0.2025,405
126,10,1,2,6,4,0.1135,227
127,10,1,2,7,4,0.0645,129
128,10,1,2,8,4,0.042,84
129,10,1,2,9,4,0.0195,39
130,10,1,2,10,4,0.0115,23
131,10,1,2,1,6.5,0.221,442
132,10,1,2,2,6.5,0.1575,315
133,10,1,2,3,6.5,0.024,48
134,10,1,2,4,6.5,0.019,38
135,10,1,2,5,6.5,0.08,160
136,10,1,2,6,6.5,0.0895,179
137,10,1,2,7,6.5,0.0115,23
138,10,1,2,8,6.5,0.237,474
139,10,1,2,9,6.5,0.463,926
140,10,1,2,10,6.5,0.5445,1089
141,10,1,2,1,9,0.588,1176
142,10,1,2,2,9,0.7355,1471
143,10,1,2,3,9,0.041,82
144,10,1,2,4,9,0.793,1586
145,10,1,2,5,9,0.457,914
146,10,1,2,6,9,0.729,1458
147,10,1,2,7,9,0.052,104
148,10,1,2,8,9,0.433,866
149,10,1,2,9,9,0.3785,757
150,10,1,2,10,9,0.0555,111
151,10,0,2,1,4,0.6495,1299
152,10,0,2,2,4,0.798,1596
153,10,0,2,3,4,0.619,1238
154,10,0,2,4,4,0.904,1808
155,10,0,2,5,4,0.012,24
156,10,0,2,6,4,0.635,1270
157,10,0,2,7,4,0.2655,531
158,10,0,2,8,4,0.458,916
159,10,0,2,9,4,0.382,764
160,10,0,2,10,4,0.4675,935
161,10,0,2,1,6.5,0.2555,511
162,10,0,2,2,6.5,0.027,54
163,10,0,2,3,6.5,0.8975,1795
164,10,0,2,4,6.5,0.802,1604
165,10,0,2,5,6.5,0.6315,1263
166,10,0,2,6,6.5,0.0715,143
167,10,0,2,7,6.5,0.475,950
168,10,0,2,8,6.5,0.347,694
169,10,0,2,9,6.5,0.4345,869
170,10,0,2,10,6.5,0.571,1142
171,10,0,2,1,9,0.2545,509
172,10,0,2,2,9,0.5765,1153
173,10,0,2,3,9,0.502,1004
174,10,0,2,4,9,0.8275,1655
175,10,0,2,5,9,0.5665,1133
176,10,0,2,6,9,0.5075,1015
177,10,0,2,7,9,0.1215,243
178,10,0,2,8,9,0.9205,1841
179,10,0,2,9,9,0.14,280
180,10,0,2,10,9,0.2605,521
181,20,5,2,1,4,0,0
182,20,5,2,2,4,0,0
183,20,5,2,3,4,0,0
184,20,5,2,4,4,0,0
185,20,5,2,5,4,0,0
186,20,5,2,6,4,0,0
187,20,5,2,7,4,0,0
188,20,5,2,8,4,0,0
189,20,5,2,9,4,0,0
190,20,5,2,10,4,0,0
191,20,5,2,1,6.5,0,0
192,20,5,2,2,6.5,0,0
193,20,5,2,3,6.5,0,0
194,20,5,2,4,6.5,0,0
195,20,5,2,5,6.5,0,0
196,20,5,2,6,6.5,0,0
197,20,5,2,7,6.5,0,0
198,20,5,2,8,6.5,0,0
199,20,5,2,9,6.5,0,0
200,20,5,2,10,6.5,0,0
201,20,5,2,1,9,0,0
202,20,5,2,2,9,0,0
203,20,5,2,3,9,0,0
204,20,5,2,4,9,0,0
205,20,5,2,5,9,0,0
206,20,5,2,6,9,0,0
207,20,5,2,7,9,0,0
208,20,5,2,8,9,0,0
209,20,5,2,9,9,0,0
210,20,5,2,10,9,0,0
211,20,4,2,1,4,0,0
212,20,4,2,2,4,0,0
213,20,4,2,3,4,0,0
214,20,4,2,4,4,0,0
215,20,4,2,5,4,0,0
216,20,4,2,6,4,0,0
217,20,4,2,7,4,0,0
218,20,4,2,8,4,0,0
219,20,4,2,9,4,0,0
220,20,4,2,10,4,0,0
221,20,4,2,1,6.5,0,0
222,20,4,2,2,6.5,0,0
223,20,4,2,3,6.5,0,0
224,20,4,2,4,6.5,0,0
225,20,4,2,5,6.5,0,0
226,20,4,2,6,6.5,0,0
227,20,4,2,7,6.5,0,0
228,20,4,2,8,6.5,0,0
229,20,4,2,9,6.5,0,0
230,20,4,2,10,6.5,0,0
231,20,4,2,1,9,0,0
232,20,4,2,2,9,0,0
233,20,4,2,3,9,5E-04,1
234,20,4,2,4,9,5E-04,1
235,20,4,2,5,9,0,0
236,20,4,2,6,9,0.001,2
237,20,4,2,7,9,5E-04,1
238,20,4,2,8,9,0.001,2
239,20,4,2,9,9,5E-04,1
240,20,4,2,10,9,0,0
241,20,3,2,1,4,0,0
242,20,3,2,2,4,0,0
243,20,3,2,3,4,5E-04,1
244,20,3,2,4,4,0,0
245,20,3,2,5,4,0,0
246,20,3,2,6,4,0,0
247,20,3,2,7,4,0,0
248,20,3,2,8,4,0,0
249,20,3,2,9,4,0,0
250,20,3,2,10,4,0,0
251,20,3,2,1,6.5,0,0
252,20,3,2,2,6.5,0.018,36
253,20,3,2,3,6.5,0,0
254,20,3,2,4,6.5,0.0065,13
255,20,3,2,5,6.5,0,0
256,20,3,2,6,6.5,0,0
257,20,3,2,7,6.5,0,0
258,20,3,2,8,6.5,0.0015,3
259,20,3,2,9,6.5,0,0
260,20,3,2,10,6.5,0,0
261,20,3,2,1,9,0.0035,7
262,20,3,2,2,9,0,0
263,20,3,2,3,9,0,0
264,20,3,2,4,9,5E-04,1
265,20,3,2,5,9,0.0275,55
266,20,3,2,6,9,5E-04,1
267,20,3,2,7,9,5E-04,1
268,20,3,2,8,9,0.001,2
269,20,3,2,9,9,0.091,182
270,20,3,2,10,9,0,0
271,20,2,2,1,4,0.0425,85
272,20,2,2,2,4,0.189,378
273,20,2,2,3,4,5E-04,1
274,20,2,2,4,4,0.021,42
275,20,2,2,5,4,0,0
276,20,2,2,6,4,0,0
277,20,2,2,7,4,0,0
278,20,2,2,8,4,0,0
279,20,2,2,9,4,0.0035,7
280,20,2,2,10,4,0,0
281,20,2,2,1,6.5,0,0
282,20,2,2,2,6.5,0.0315,63
283,20,2,2,3,6.5,0.016,32
284,20,2,2,4,6.5,0.0935,187
285,20,2,2,5,6.5,0.045,90
286,20,2,2,6,6.5,0,0
287,20,2,2,7,6.5,0.156,312
