n,changenumber_mean,changenumber_sd,repetition,number_before,proportion_estimates_below_zero,count_estimates_below_zero
10,7,1,1,3,0,0
10,7,1,2,3,0,0
10,7,1,3,3,0,0
10,7,1,4,3,0,0
10,7,1,5,3,0,0
10,7,1,6,3,0,0
10,7,1,7,3,0,0
10,7,1,8,3,0,0
10,7,1,9,3,0,0
10,7,1,10,3,0,0
10,5.5,1,1,4.5,0,0
10,5.5,1,2,4.5,0,0
10,5.5,1,3,4.5,0,0
10,5.5,1,4,4.5,0,0
10,5.5,1,5,4.5,0,0
10,5.5,1,6,4.5,0,0
10,5.5,1,7,4.5,0,0
10,5.5,1,8,4.5,0,0
10,5.5,1,9,4.5,0,0
10,5.5,1,10,4.5,0,0
10,4,1,1,6,0,0
10,4,1,2,6,0,0
10,4,1,3,6,0,0
10,4,1,4,6,0,0
10,4,1,5,6,0,0
10,4,1,6,6,0,0
10,4,1,7,6,0,0
10,4,1,8,6,0,0
10,4,1,9,6,0,0
10,4,1,10,6,0,0
10,6.23,1,1,3,0,0
10,6.23,1,2,3,0,0
10,6.23,1,3,3,0,0
10,6.23,1,4,3,0,0
10,6.23,1,5,3,0,0
10,6.23,1,6,3,0,0
10,6.23,1,7,3,0,0
10,6.23,1,8,3,0,0
10,6.23,1,9,3,0,0
10,6.23,1,10,3,0,0
10,4.895,1,1,4.5,0,0
10,4.895,1,2,4.5,0,0
10,4.895,1,3,4.5,0,0
10,4.895,1,4,4.5,0,0
10,4.895,1,5,4.5,0,0
10,4.895,1,6,4.5,0,0
10,4.895,1,7,4.5,0,0
10,4.895,1,8,4.5,0,0
10,4.895,1,9,4.5,0,0
10,4.895,1,10,4.5,0,0
10,3.56,1,1,6,0,0
10,3.56,1,2,6,0,0
10,3.56,1,3,6,0,0
10,3.56,1,4,6,0,0
10,3.56,1,5,6,0,0
10,3.56,1,6,6,0,0
10,3.56,1,7,6,0,0
10,3.56,1,8,6,0,0
10,3.56,1,9,6,0,0
10,3.56,1,10,6,0,0
10,4.69,1,1,3,0,0
10,4.69,1,2,3,0,0
10,4.69,1,3,3,0,0
10,4.69,1,4,3,0,0
10,4.69,1,5,3,0,0
10,4.69,1,6,3,0,0
10,4.69,1,7,3,0,0
10,4.69,1,8,3,0,0
10,4.69,1,9,3,0,0
10,4.69,1,10,3,0,0
10,3.685,1,1,4.5,0,0
10,3.685,1,2,4.5,0,0
10,3.685,1,3,4.5,0,0
10,3.685,1,4,4.5,0,0
10,3.685,1,5,4.5,0,0
10,3.685,1,6,4.5,0,0
10,3.685,1,7,4.5,0,0
10,3.685,1,8,4.5,0,0
10,3.685,1,9,4.5,0,0
10,3.685,1,10,4.5,0,0
10,2.68,1,1,6,0,0
10,2.68,1,2,6,0,0
10,2.68,1,3,6,0.0205,41
10,2.68,1,4,6,0,0
10,2.68,1,5,6,0,0
10,2.68,1,6,6,0,0
10,2.68,1,7,6,0,0
10,2.68,1,8,6,0,0
10,2.68,1,9,6,5E-04,1
