n,changenumber_mean,repetition,changeprop_sd,number_before,proportion_estimates_below_zero,count_estimates_below_zero
10,0.3,1,0.1,0.3,0,0
10,0.3,2,0.1,0.3,0.0085,17
10,0.3,3,0.1,0.3,0.079,158
10,0.3,4,0.1,0.3,0.0015,3
10,0.3,5,0.1,0.3,0,0
10,0.3,6,0.1,0.3,5E-04,1
10,0.3,7,0.1,0.3,5E-04,1
10,0.3,8,0.1,0.3,0.001,2
10,0.3,9,0.1,0.3,0,0
10,0.3,10,0.1,0.3,0,0
10,0.3,1,0.1,0.5,0.0215,43
10,0.3,2,0.1,0.5,0,0
10,0.3,3,0.1,0.5,0,0
10,0.3,4,0.1,0.5,0.006,12
10,0.3,5,0.1,0.5,0.004,8
10,0.3,6,0.1,0.5,0.003,6
10,0.3,7,0.1,0.5,0,0
10,0.3,8,0.1,0.5,0.0025,5
10,0.3,9,0.1,0.5,0.008,16
10,0.3,10,0.1,0.5,0,0
10,0.3,1,0.1,0.7,0.01,20
10,0.3,2,0.1,0.7,0.001,2
10,0.3,3,0.1,0.7,0.0035,7
10,0.3,4,0.1,0.7,0.002,4
10,0.3,5,0.1,0.7,0.001,2
10,0.3,6,0.1,0.7,0.007,14
10,0.3,7,0.1,0.7,0.0375,75
10,0.3,8,0.1,0.7,0.042,84
10,0.3,9,0.1,0.7,0.002,4
10,0.3,10,0.1,0.7,0.0225,45
10,0.25,1,0.1,0.3,0.0035,7
10,0.25,2,0.1,0.3,0.036,72
10,0.25,3,0.1,0.3,0.0145,29
10,0.25,4,0.1,0.3,0.0035,7
10,0.25,5,0.1,0.3,0.013,26
10,0.25,6,0.1,0.3,0,0
10,0.25,7,0.1,0.3,0.0015,3
10,0.25,8,0.1,0.3,0.001,2
10,0.25,9,0.1,0.3,0.001,2
10,0.25,10,0.1,0.3,0,0
10,0.25,1,0.1,0.5,0.092,184
10,0.25,2,0.1,0.5,5E-04,1
10,0.25,3,0.1,0.5,0,0
10,0.25,4,0.1,0.5,0.005,10
10,0.25,5,0.1,0.5,0,0
10,0.25,6,0.1,0.5,0,0
10,0.25,7,0.1,0.5,0.023,46
10,0.25,8,0.1,0.5,0.0085,17
10,0.25,9,0.1,0.5,0.1135,227
10,0.25,10,0.1,0.5,0.002,4
10,0.25,1,0.1,0.7,5E-04,1
10,0.25,2,0.1,0.7,0.003,6
10,0.25,3,0.1,0.7,0.0265,53
10,0.25,4,0.1,0.7,0.0015,3
10,0.25,5,0.1,0.7,0,0
10,0.25,6,0.1,0.7,0.0025,5
10,0.25,7,0.1,0.7,0.003,6
10,0.25,8,0.1,0.7,5E-04,1
10,0.25,9,0.1,0.7,0.001,2
10,0.25,10,0.1,0.7,0.008,16
10,0.2,1,0.1,0.3,0.0035,7
10,0.2,2,0.1,0.3,0.018,36
10,0.2,3,0.1,0.3,0.014,28
10,0.2,4,0.1,0.3,0.0135,27
10,0.2,5,0.1,0.3,0.03,60
