n,changeprob_mean,repetition,proportion_inside,proportion_estimates_below_zero,count_estimates_below_zero
10,0.3,1,0.6,0.8525,1705
10,0.3,2,0.6,0.991,1982
10,0.3,3,0.6,0.692,1384
10,0.3,4,0.6,0.983,1966
10,0.3,5,0.6,0.827,1654
10,0.3,6,0.6,0.841,1682
10,0.3,7,0.6,0.843,1686
10,0.3,8,0.6,0.6785,1357
10,0.3,9,0.6,0.505,1010
10,0.3,10,0.6,0.512,1024
10,0.3,1,0.7,0.678,1356
10,0.3,2,0.7,0.3205,641
10,0.3,3,0.7,0.836,1672
10,0.3,4,0.7,0.9405,1881
10,0.3,5,0.7,0.8435,1687
10,0.3,6,0.7,0.69,1380
10,0.3,7,0.7,0.8255,1651
10,0.3,8,0.7,0.8195,1639
10,0.3,9,0.7,0.929,1858
10,0.3,10,0.7,0.4935,987
10,0.3,1,0.8,0.8295,1659
10,0.3,2,0.8,0.8275,1655
10,0.3,3,0.8,0.9315,1863
10,0.3,4,0.8,0.932,1864
10,0.3,5,0.8,0.9275,1855
10,0.3,6,0.8,0.847,1694
10,0.3,7,0.8,0.9425,1885
10,0.3,8,0.8,0.487,974
10,0.3,9,0.8,0.929,1858
10,0.3,10,0.8,0.478,956
10,0.2,1,0.6,0.6845,1369
10,0.2,2,0.6,0.6715,1343
10,0.2,3,0.6,0.822,1644
10,0.2,4,0.6,0.836,1672
10,0.2,5,0.6,0.689,1378
10,0.2,6,0.6,0.6875,1375
10,0.2,7,0.6,0.843,1686
10,0.2,8,0.6,0.493,986
10,0.2,9,0.6,0.8405,1681
10,0.2,10,0.6,0.0645,129
10,0.2,1,0.7,0.5105,1021
10,0.2,2,0.7,0.316,632
10,0.2,3,0.7,0.935,1870
10,0.2,4,0.7,0.705,1410
10,0.2,5,0.7,0.4985,997
10,0.2,6,0.7,0.7055,1411
10,0.2,7,0.7,0.6955,1391
10,0.2,8,0.7,0.836,1672
10,0.2,9,0.7,0.6975,1395
10,0.2,10,0.7,0.852,1704
10,0.2,1,0.8,0.5055,1011
10,0.2,2,0.8,0.5095,1019
10,0.2,3,0.8,0.301,602
10,0.2,4,0.8,0.9175,1835
10,0.2,5,0.8,0.696,1392
10,0.2,6,0.8,0.832,1664
10,0.2,7,0.8,0.689,1378
10,0.2,8,0.8,0.6785,1357
10,0.2,9,0.8,0.305,610
10,0.2,10,0.8,0.494,988
10,0.1,1,0.6,0.3365,673
10,0.1,2,0.6,0.319,638
10,0.1,3,0.6,0.4935,987
10,0.1,4,0.6,0.157,314
10,0.1,5,0.6,0.0655,131
10,0.1,6,0.6,0.177,354
10,0.1,7,0.6,0.6935,1387
10,0.1,8,0.6,0.8375,1675
10,0.1,9,0.6,0.485,970
10,0.1,10,0.6,0.304,608
10,0.1,1,0.7,0.1535,307
10,0.1,2,0.7,0.4915,983
10,0.1,3,0.7,0.941,1882
10,0.1,4,0.7,0.5115,1023
10,0.1,5,0.7,0.068,136
10,0.1,6,0.7,0.483,966
10,0.1,7,0.7,0.696,1392
10,0.1,8,0.7,0.689,1378
10,0.1,9,0.7,0.157,314
10,0.1,10,0.7,0.853,1706
10,0.1,1,0.8,0.8505,1701
10,0.1,2,0.8,0.7145,1429
10,0.1,3,0.8,0.313,626
10,0.1,4,0.8,0.4935,987
10,0.1,5,0.8,0.3175,635
10,0.1,6,0.8,0.0585,117
10,0.1,7,0.8,0.4915,983
10,0.1,8,0.8,0.3065,613
10,0.1,9,0.8,0.019,38
10,0.1,10,0.8,0.4885,977
10,0.05,1,0.6,0.519,1038
10,0.05,2,0.6,0.5005,1001
10,0.05,3,0.6,0.323,646
10,0.05,4,0.6,0.525,1050
10,0.05,5,0.6,0.3125,625
10,0.05,6,0.6,0.517,1034
10,0.05,7,0.6,0.336,672
10,0.05,8,0.6,0.2855,571
10,0.05,9,0.6,0.1495,299
