"","n","changeprob_mean","n_suburban","repetition","survival_control","proportion_estimates_below_zero_condition","count_estimates_below_zero_condition","proportion_estimates_below_zero_habitatnatural","proportion_estimates_below_zero_habitatsuburban"
"1",10,0.3,1,1,0.5,0.3415,683,"0.319","0.584"
"2",10,0.3,3,2,0.5,0.6785,1357,"0.5415","0.5375"
"3",10,0.3,3,3,0.5,0.212,424,"0.312","0.469"
"4",10,0.3,1,4,0.5,0.217,434,"0.3375","0.3915"
"5",10,0.3,3,5,0.5,0.35,700,"0.3815","0.4105"
"6",10,0.3,3,6,0.5,0.493,986,"0.4695","0.557"
"7",10,0.3,3,7,0.5,0.0975,195,"0.303","0.256"
"8",10,0.3,2,8,0.5,0.3485,697,"0.429","0.491"
"9",10,0.3,1,9,0.5,0.126,252,"0.196","0.4135"
"10",10,0.3,0,10,0.5,0.1285,257,"NA","NA"
"11",10,0.3,1,1,0.6,0.3385,677,"0.3785","0.4185"
"12",10,0.3,1,2,0.6,0.203,406,"0.3095","0.416"
"13",10,0.3,2,3,0.6,0.3365,673,"0.3335","0.517"
"14",10,0.3,2,4,0.6,0.104,208,"0.279","0.3685"
"15",10,0.3,6,5,0.6,0.2075,415,"0.3585","0.3755"
"16",10,0.3,3,6,0.6,0.207,414,"0.1985","0.603"
"17",10,0.3,2,7,0.6,0.315,630,"0.4175","0.3545"
"18",10,0.3,2,8,0.6,0.0895,179,"0.235","0.352"
"19",10,0.3,3,9,0.6,0.5195,1039,"0.4645","0.5445"
"20",10,0.3,1,10,0.6,0.095,190,"0.2","0.415"
"21",10,0.3,3,1,0.7,0.0995,199,"0.304","0.2725"
"22",10,0.3,2,2,0.7,0.485,970,"0.494","0.509"
"23",10,0.3,3,3,0.7,0.5035,1007,"0.2675","0.7205"
"24",10,0.3,1,4,0.7,0.037,74,"0.0955","0.4285"
"25",10,0.3,0,5,0.7,0.1975,395,"NA","NA"
"26",10,0.3,4,6,0.7,0.194,388,"0.2195","0.499"
"27",10,0.3,0,7,0.7,0.5045,1009,"NA","NA"
"28",10,0.3,0,8,0.7,0.187,374,"NA","NA"
"29",10,0.3,1,9,0.7,0.3425,685,"0.3765","0.431"
"30",10,0.3,3,10,0.7,0.529,1058,"0.3745","0.6055"
"31",10,0.2,2,1,0.5,0.18,360,"0.3715","0.344"
"32",10,0.2,4,2,0.5,0.2085,417,"0.32","0.3635"
"33",10,0.2,3,3,0.5,0.015,30,"0.057","0.2425"
"34",10,0.2,4,4,0.5,0.203,406,"0.2705","0.5185"
"35",10,0.2,3,5,0.5,0.3525,705,"0.449","0.467"
"36",10,0.2,1,6,0.5,0.5005,1001,"0.4455","0.5665"
"37",10,0.2,4,7,0.5,0.2125,425,"0.356","0.35"
"38",10,0.2,2,8,0.5,0.1925,385,"0.458","0.365"
"39",10,0.2,1,9,0.5,0.328,656,"0.2765","0.582"
"40",10,0.2,1,10,0.5,0.311,622,"0.4215","0.429"
"41",10,0.2,2,1,0.6,0.1995,399,"0.2615","0.483"
"42",10,0.2,0,2,0.6,0.307,614,"NA","NA"
"43",10,0.2,4,3,0.6,0.6495,1299,"0.6425","0.4985"
"44",10,0.2,4,4,0.6,0.4895,979,"0.493","0.44"
"45",10,0.2,1,5,0.6,0.5345,1069,"0.4425","0.5875"
"46",10,0.2,1,6,0.6,0.505,1010,"0.4755","0.568"
"47",10,0.2,3,7,0.6,0.5075,1015,"0.4745","0.5865"
"48",10,0.2,2,8,0.6,0.194,388,"0.2425","0.49"
"49",10,0.2,5,9,0.6,0.6605,1321,"0.41","0.6095"
"50",10,0.2,1,10,0.6,0.3175,635,"0.378","0.4225"
"51",10,0.2,3,1,0.7,0.2235,447,"0.4685","0.2575"
"52",10,0.2,2,2,0.7,0.3165,633,"0.422","0.367"
"53",10,0.2,4,3,0.7,0.509,1018,"0.5605","0.4135"
"54",10,0.2,2,4,0.7,0.349,698,"0.5055","0.328"
"55",10,0.2,1,5,0.7,0.0985,197,"0.1945","0.4345"
"56",10,0.2,1,6,0.7,0.1675,335,"0.2045","0.579"
"57",10,0.2,2,7,0.7,0.4875,975,"0.645","0.3315"
"58",10,0.2,3,8,0.7,0.6475,1295,"0.3965","0.718"
"59",10,0.2,1,9,0.7,0.4995,999,"0.5045","0.4205"
"60",10,0.2,2,10,0.7,0.651,1302,"0.485","0.6825"
"61",10,0.1,2,1,0.5,0.3415,683,"0.273","0.6865"
"62",10,0.1,1,2,0.5,0.6475,1295,"0.5225","0.562"
"63",10,0.1,2,3,0.5,0.492,984,"0.4075","0.624"
"64",10,0.1,2,4,0.5,0.4945,989,"0.5085","0.5185"
"65",10,0.1,1,5,0.5,0.631,1262,"0.5655","0.575"
"66",10,0.1,1,6,0.5,0.328,656,"0.456","0.4285"
"67",10,0.1,4,7,0.5,0.368,736,"0.325","0.551"
"68",10,0.1,2,8,0.5,0.507,1014,"0.3265","0.6345"
